acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,_id,bangerVote,songId,voteTime
0.336,https://api.spotify.com/v1/audio-analysis/4sPmO7WMQUAf45kwMOtONw,0.481,295493,0.451,4sPmO7WMQUAf45kwMOtONw,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,audio_features,spotify:track:4sPmO7WMQUAf45kwMOtONw,0.289,5bf8d7de421d7f3f41ed8ccc,false,4sPmO7WMQUAf45kwMOtONw,2018-11-23 23:47:26.717
0.336,https://api.spotify.com/v1/audio-analysis/4sPmO7WMQUAf45kwMOtONw,0.481,295493,0.451,4sPmO7WMQUAf45kwMOtONw,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,audio_features,spotify:track:4sPmO7WMQUAf45kwMOtONw,0.289,5bf8950b421d7f265d0c30f4,false,4sPmO7WMQUAf45kwMOtONw,2018-11-23 19:02:19.064
0.336,https://api.spotify.com/v1/audio-analysis/4sPmO7WMQUAf45kwMOtONw,0.481,295493,0.451,4sPmO7WMQUAf45kwMOtONw,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,audio_features,spotify:track:4sPmO7WMQUAf45kwMOtONw,0.289,5bf8c72d421d7f29e83d38cd,false,4sPmO7WMQUAf45kwMOtONw,2018-11-23 22:36:13.666
0.336,https://api.spotify.com/v1/audio-analysis/4sPmO7WMQUAf45kwMOtONw,0.481,295493,0.451,4sPmO7WMQUAf45kwMOtONw,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,audio_features,spotify:track:4sPmO7WMQUAf45kwMOtONw,0.289,5bf8cc16421d7f29e83d38d3,false,4sPmO7WMQUAf45kwMOtONw,2018-11-23 22:57:10.263
0.336,https://api.spotify.com/v1/audio-analysis/4sPmO7WMQUAf45kwMOtONw,0.481,295493,0.451,4sPmO7WMQUAf45kwMOtONw,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,audio_features,spotify:track:4sPmO7WMQUAf45kwMOtONw,0.289,5bf8d7de421d7f3f41ed8ccc,false,4sPmO7WMQUAf45kwMOtONw,2018-11-23 23:47:26.717
0.216,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,0.75,232253,0.404,6NFyWDv5CjfwuzoCkw47Xf,0.000357,9,0.0911,-10.178,0,0.0682,95.045,4,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,audio_features,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.0499,5bf8c71d421d7f29e83d38cc,false,6NFyWDv5CjfwuzoCkw47Xf,2018-11-23 22:35:57.882
0.053,https://api.spotify.com/v1/audio-analysis/0IrnW7t5oRzmSqIsH4wwWz,0.958,200361,0.616,0IrnW7t5oRzmSqIsH4wwWz,0.0,0,0.0956,-5.555,1,0.291,130.0,4,https://api.spotify.com/v1/tracks/0IrnW7t5oRzmSqIsH4wwWz,audio_features,spotify:track:0IrnW7t5oRzmSqIsH4wwWz,0.489,5bf8c7f2421d7f29e83d38d0,false,0IrnW7t5oRzmSqIsH4wwWz,2018-11-23 22:39:30.014
0.0591,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,0.573,208400,0.913,2zYzyRzz6pRmhPzyfMEC8s,0.00173,6,0.156,-4.793,0,0.132,115.715,4,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,audio_features,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,0.422,5bf8c948421d7f29e83d38d1,false,2zYzyRzz6pRmhPzyfMEC8s,2018-11-23 22:45:12.185
0.0134,https://api.spotify.com/v1/audio-analysis/1JIoBKIW1ktHCZW2v0cd7E,0.465,199813,0.749,1JIoBKIW1ktHCZW2v0cd7E,0.0,4,0.1,-5.5,1,0.099,126.156,4,https://api.spotify.com/v1/tracks/1JIoBKIW1ktHCZW2v0cd7E,audio_features,spotify:track:1JIoBKIW1ktHCZW2v0cd7E,0.586,5bf8c9ac421d7f29e83d38d2,false,1JIoBKIW1ktHCZW2v0cd7E,2018-11-23 22:46:52.674
0.0438,https://api.spotify.com/v1/audio-analysis/2Oi0IO8K4BEbhPUdWcjNmv,0.642,193580,0.957,2Oi0IO8K4BEbhPUdWcjNmv,0.0,6,0.273,-0.944,0,0.05,125.008,4,https://api.spotify.com/v1/tracks/2Oi0IO8K4BEbhPUdWcjNmv,audio_features,spotify:track:2Oi0IO8K4BEbhPUdWcjNmv,0.801,5bf8cc25421d7f29e83d38d4,false,2Oi0IO8K4BEbhPUdWcjNmv,2018-11-23 22:57:25.944
